file_name,company_name,altman_z_prime_score,altman_z_prime_zone,data_quality_score,needs_review,issues_count,issues
montefarm.pdf,"ZDRAVSTVENA USTANOVA APOTEKE CRNE GORE ""MONTEFARM""- PODGORICA",4.2089,Safe zone,100,False,0,
mote put.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""MONTE PUT"" - PODGORICA",1.288,Grey zone,80,False,0,
mpm.pdf,"""MPM"" DRUŠTVO ZA TRGOVINU, ZASTUPANJE I POSREDOVANJE DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU PODGORICA",2.2821,Grey zone,100,False,0,
mtel.pdf,"DRUŠTVO ZA TELEKOMUNIKACIJE ""MTEL"" DOO PODGORICA",1.4171,Grey zone,100,False,0,
nelt.pdf,"DRUŠTVO ZA TRGOVINU I USLUGE, EXPORT-IMPORT ""NELT MNE"" D.O.O. PODGORICA",3.0547,Safe zone,100,False,0,
okov.pdf,"DRUŠTVO ZA PROMET, PROIZVODNJU I USLUGE ""OKOV"" D.O.O. - PODGORICA",3.3498,Safe zone,100,False,0,
one.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROMET, IZGRADNJU I EKSPLOATACIJU MREŽE MOBILNIH TELEKOMUNIKACIJA ""ONE CRNA GORA"" DOO PODGORICA",2.6314,Grey zone,100,False,0,
posta.pdf,POŠTA CRNE GORE AKCIONARSKO DRUŠTVO PODGORICA,2.2459,Grey zone,100,False,0,
propianolab.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""PROPIANOLAB"" TIVAT",-29.3482,Distress zone,72,True,3,"ROA je ekstreman; moguće pogrešno očitana neto dobit ili ukupna aktiva | Debt-to-assets je van realnog raspona; provjeriti aktivu, kapital i obaveze | Working capital / assets je ekstreman; provjeriti obrtna sredstva i ukupnu aktivu"
sportvision.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""SPORT VISION"" PODGORICA",3.9979,Safe zone,100,False,0,
stadion.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""STADION"" PODGORICA",269.4684,Safe zone,80,True,7,"Kapital je neuobičajeno veći od ukupne aktive; moguće pogrešno očitan total_assets ili equity | Ukupne obaveze su negativne; moguće pogrešno očitan total_assets ili equity | Obrtna sredstva su neuobičajeno veća od ukupne aktive | Obrt aktive je ekstremno visok; moguće pogrešno očitana ukupna aktiva ili prihod | ROA je ekstreman; moguće pogrešno očitana neto dobit ili ukupna aktiva | Debt-to-assets je van realnog raspona; provjeriti aktivu, kapital i obaveze | Working capital / assets je ekstreman; provjeriti obrtna sredstva i ukupnu aktivu"
summer zey.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""SUMMER ZEY"" BUDVA",-160.1478,Distress zone,72,True,3,"ROA je ekstreman; moguće pogrešno očitana neto dobit ili ukupna aktiva | Debt-to-assets je van realnog raspona; provjeriti aktivu, kapital i obaveze | Working capital / assets je ekstreman; provjeriti obrtna sredstva i ukupnu aktivu"
tehnomax.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""TEHNO MAX"" - PODGORICA",5.0485,Safe zone,100,False,0,
tomontenegro.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA TRANSPORT PUTNIKA I ROBE U VAZDUŠNOM SAOBRAĆAJU ""TOMONTENEGRO""",3.3918,Safe zone,100,False,0,
ukras 2025.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""UKRAS 2025"" BERANE",-1141.9388,Distress zone,72,True,3,"ROA je ekstreman; moguće pogrešno očitana neto dobit ili ukupna aktiva | Debt-to-assets je van realnog raspona; provjeriti aktivu, kapital i obaveze | Working capital / assets je ekstreman; provjeriti obrtna sredstva i ukupnu aktivu"
voli.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""VOLI TRADE"" D.O.O. ZA PROMET I USLUGE EXPORT- IMPORT - PODGORICA",2.2027,Grey zone,100,False,0,
ypour fortune.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""YOUR FORTUNE"" BUDVA",,Unknown,16,True,4,Nedostaje obavezno polje: total_assets | Nedostaje obavezno polje: current_assets | Altman Z' nije izračunat | Nizak ili srednji kvalitet ekstrakcije
zetagradnja.pdf,"DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ""ZETAGRADNJA"" PODGORICA",1.92,Grey zone,100,False,0,
